GEO,HC_ACCESS_2020,VOTER_TURNOUT_2019
Newfoundland and Labrador,86.7,58.8
Prince Edward Island,81.8,74
Nova Scotia,87.8,69.8
New Brunswick,90.6,72.1
Quebec,80.6,67.3
Ontario,90.6,66.3
Manitoba,84.3,64.3
Saskatchewan,82.9,72.6
Alberta,85.3,69.2
British Columbia,80.9,66
