"REF_DATE","GEO","DGUID","New housing price indexes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-06","Atlantic Region","2016A00011","House only","Index, 201612=100","347","units","0","v111955446","2.2","124.8","","","","1"
"2025-07","Atlantic Region","2016A00011","House only","Index, 201612=100","347","units","0","v111955446","2.2","124.8","","","","1"
"2025-08","Atlantic Region","2016A00011","House only","Index, 201612=100","347","units","0","v111955446","2.2","124.8","","","","1"
"2025-09","Atlantic Region","2016A00011","House only","Index, 201612=100","347","units","0","v111955446","2.2","124.8","","","","1"
"2025-10","Atlantic Region","2016A00011","House only","Index, 201612=100","347","units","0","v111955446","2.2","125.0","","","","1"
"2025-11","Atlantic Region","2016A00011","House only","Index, 201612=100","347","units","0","v111955446","2.2","125.0","","","","1"
"2025-12","Atlantic Region","2016A00011","House only","Index, 201612=100","347","units","0","v111955446","2.2","125.0","","","","1"
"2025-01","Atlantic Region","2016A00011","Land only","Index, 201612=100","347","units","0","v111955447","2.3","103.4","E","","","1"
"2025-02","Atlantic Region","2016A00011","Land only","Index, 201612=100","347","units","0","v111955447","2.3","104.6","E","","","1"
"2025-03","Atlantic Region","2016A00011","Land only","Index, 201612=100","347","units","0","v111955447","2.3","104.6","E","","","1"
"2025-04","Atlantic Region","2016A00011","Land only","Index, 201612=100","347","units","0","v111955447","2.3","104.6","E","","","1"
"2025-05","Atlantic Region","2016A00011","Land only","Index, 201612=100","347","units","0","v111955447","2.3","104.8","E","","","1"
"2025-06","Atlantic Region","2016A00011","Land only","Index, 201612=100","347","units","0","v111955447","2.3","104.9","E","","","1"
"2025-07","Atlantic Region","2016A00011","Land only","Index, 201612=100","347","units","0","v111955447","2.3","104.9","E","","","1"
"2025-08","Atlantic Region","2016A00011","Land only","Index, 201612=100","347","units","0","v111955447","2.3","104.9","E","","","1"
"2025-09","Atlantic Region","2016A00011","Land only","Index, 201612=100","347","units","0","v111955447","2.3","104.9","E","","","1"
"2025-10","Atlantic Region","2016A00011","Land only","Index, 201612=100","347","units","0","v111955447","2.3","104.9","E","","","1"
"2025-11","Atlantic Region","2016A00011","Land only","Index, 201612=100","347","units","0","v111955447","2.3","104.9","E","","","1"
"2025-12","Atlantic Region","2016A00011","Land only","Index, 201612=100","347","units","0","v111955447","2.3","104.9","E","","","1"
"2025-01","Quebec","2016A000224","Total (house and land)","Index, 201612=100","347","units","0","v111955472","11.1","144.3","","","","1"
"2025-02","Quebec","2016A000224","Total (house and land)","Index, 201612=100","347","units","0","v111955472","11.1","144.6","","","","1"
"2025-03","Quebec","2016A000224","Total (house and land)","Index, 201612=100","347","units","0","v111955472","11.1","145.6","","","","1"
"2025-04","Quebec","2016A000224","Total (house and land)","Index, 201612=100","347","units","0","v111955472","11.1","145.7","","","","1"
"2025-05","Quebec","2016A000224","Total (house and land)","Index, 201612=100","347","units","0","v111955472","11.1","145.7","","","","1"
"2025-06","Quebec","2016A000224","Total (house and land)","Index, 201612=100","347","units","0","v111955472","11.1","145.6","","","","1"
"2025-07","Quebec","2016A000224","Total (house and land)","Index, 201612=100","347","units","0","v111955472","11.1","146.1","","","","1"
"2025-08","Quebec","2016A000224","Total (house and land)","Index, 201612=100","347","units","0","v111955472","11.1","146.5","","","","1"
"2025-09","Quebec","2016A000224","Total (house and land)","Index, 201612=100","347","units","0","v111955472","11.1","148.1","","","","1"
"2025-10","Quebec","2016A000224","Total (house and land)","Index, 201612=100","347","units","0","v111955472","11.1","148.6","","","","1"
"2025-11","Quebec","2016A000224","Total (house and land)","Index, 201612=100","347","units","0","v111955472","11.1","148.7","","","","1"
"2025-12","Quebec","2016A000224","Total (house and land)","Index, 201612=100","347","units","0","v111955472","11.1","149.1","","","","1"
