"REF_DATE","GEO","DGUID","Age group","Sex","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","Number of persons","Number","223","units","0","v110794144","3.1.1.8.1","","F","","","0"
"2019","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","Arthritis (15 years and over)","Number of persons","Number","223","units","0","v110794151","3.1.1.9.1","27600","","","","0"
"2020","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","Arthritis (15 years and over)","Number of persons","Number","223","units","0","v110794151","3.1.1.9.1","30300","","","","0"
"2019","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","Diabetes","Number of persons","Number","223","units","0","v110794158","3.1.1.10.1","11400","","","","0"
"2020","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","Diabetes","Number of persons","Number","223","units","0","v110794158","3.1.1.10.1","10000","E","","","0"
"2019","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","Asthma","Number of persons","Number","223","units","0","v110794165","3.1.1.11.1","11600","","","","0"
"2020","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","Asthma","Number of persons","Number","223","units","0","v110794165","3.1.1.11.1","9600","E","","","0"
"2019","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","Chronic obstructive pulmonary disease (COPD; 35 years and over)","Number of persons","Number","223","units","0","v110794172","3.1.1.12.1","5200","","","","0"
"2020","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","Chronic obstructive pulmonary disease (COPD; 35 years and over)","Number of persons","Number","223","units","0","v110794172","3.1.1.12.1","5900","E","","","0"
"2019","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","High blood pressure","Number of persons","Number","223","units","0","v110794179","3.1.1.13.1","24300","","","","0"
"2020","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","High blood pressure","Number of persons","Number","223","units","0","v110794179","3.1.1.13.1","25400","","","","0"
"2019","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","Mood disorder","Number of persons","Number","223","units","0","v110794186","3.1.1.14.1","17700","","","","0"
"2020","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","Mood disorder","Number of persons","Number","223","units","0","v110794186","3.1.1.14.1","14000","E","","","0"
"2019","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110794193","3.1.1.15.1","21800","","","","0"
